,sig,d,l,diel,conc,ratio,equil,prod,perc
0,0.5,11.1,26.0,10.0,18.8,1.9485400034898828,0.19498815906927183,0.37994222815332473,0.08964646464646465
1,0.5,11.1,26.0,15.0,18.8,1.6132709876385887,0.19545001441141638,0.3153138377834821,0.0037878787878787884
2,0.5,11.1,26.0,22.5,18.8,1.2573963575130562,0.20120720239694823,0.252997203399315,0.0012626262626262627
3,0.5,16.8,26.0,10.0,9.0,1.952058141180316,0.27799458823528245,0.5426615991687528,0.08712121212121211
4,0.5,16.8,26.0,15.0,9.0,1.6929415681754574,0.274091503561573,0.4640208998630984,0.08207070707070707
5,0.5,16.8,26.0,22.5,9.0,1.4050892284577634,0.27808751610252586,0.3907377734442339,0.07702020202020203
6,0.5,25.5,26.0,10.0,22.5,1.5809613387891248,0.3910638857944973,0.6182568844377458,0.08207070707070707
7,0.5,25.5,26.0,15.0,22.5,1.38247696393826,0.39122361612020773,0.540857637034812,0.0744949494949495
8,0.5,25.5,26.0,22.5,22.5,1.2120796402767555,0.39021758450817073,0.47297478946032806,0.07196969696969698
9,0.8,11.1,26.0,10.0,18.8,1.9023354872136455,0.2700350319689591,0.5136972241054222,0.08712121212121211
10,0.8,11.1,26.0,15.0,18.8,1.615240826570375,0.2705947013014463,0.43707560899571185,0.0012626262626262627
11,0.8,11.1,26.0,22.5,18.8,1.2836830907800985,0.278635307908258,0.35767943325613705,0.07702020202020203
12,0.8,16.8,26.0,10.0,9.0,1.9076008651051586,0.39382607375740236,0.7512629590005887,0.0845959595959596
13,0.8,16.8,26.0,15.0,9.0,1.6779593720577812,0.3922648411114725,0.6582044664717517,0.08207070707070707
14,0.8,16.8,26.0,22.5,9.0,1.4094423484021867,0.40217156399240206,0.5668376336140315,0.0744949494949495
15,0.8,25.5,26.0,10.0,22.5,1.5375050584687624,0.5673660925591606,0.8723282373133655,0.07702020202020203
16,0.8,25.5,26.0,15.0,22.5,1.3842195342376626,0.5638846872561911,0.7805401991575149,0.0744949494949495
17,0.8,25.5,26.0,22.5,22.5,1.2311962560600171,0.5646033727492626,0.6951375586877505,0.06944444444444445
18,0.8,11.1,26.0,10.0,18.8,1.943296613449321,0.26823338583649126,0.5212570303100985,0.08964646464646465
19,0.8,11.1,26.0,15.0,18.8,1.597986618185636,0.27415205928135,0.4380913220796325,0.0012626262626262627
20,0.8,11.1,26.0,22.5,18.8,1.3215918239443643,0.2732995232761791,0.3611904154496908,0.07702020202020203
21,0.8,16.8,26.0,10.0,9.0,1.9316084754408738,0.39101385920800485,0.7552856844610267,0.0845959595959596
22,0.8,16.8,26.0,15.0,9.0,1.6669427880917715,0.39494486345249874,0.6583504918260322,0.08207070707070707
23,0.8,16.8,26.0,22.5,9.0,1.3915798595669195,0.4092920469308761,0.5695625691899256,0.0744949494949495
24,0.8,25.5,26.0,10.0,22.5,1.5443899505873253,0.5653435357413052,0.8731108752283782,0.07702020202020203
25,0.8,25.5,26.0,15.0,22.5,1.3917107571099787,0.5610321909203002,0.7807945351887611,0.07196969696969698
26,0.8,25.5,26.0,22.5,22.5,1.241182650898754,0.5597490477054538,0.6947508068691082,0.06691919191919193
27,0.8,11.1,26.0,10.0,18.8,1.9274451292589383,0.2697549682483592,0.5199378996436995,0.08964646464646465
28,0.8,11.1,26.0,15.0,18.8,1.5788435081479704,0.2760618344140119,0.43585843511198263,0.08207070707070707
29,0.8,11.1,26.0,22.5,18.8,1.3126088778685785,0.2725970182101133,0.3578132661830973,0.07702020202020203
30,0.8,16.8,26.0,10.0,9.0,1.915679965088054,0.39187205707442957,0.7507014486153272,0.0845959595959596
31,0.8,16.8,26.0,15.0,9.0,1.6745590209407453,0.39465807575527745,0.6608782409431159,0.08207070707070707
32,0.8,16.8,26.0,22.5,9.0,1.3935536944354954,0.40745165864672406,0.5678057642110127,0.07702020202020203
33,0.8,25.5,26.0,10.0,22.5,1.5347532635167491,0.5692628403605141,0.8736780020421132,0.07702020202020203
34,0.8,25.5,26.0,15.0,22.5,1.3875702322747363,0.5620804040710452,0.7799260368339378,0.07196969696969698
35,0.8,25.5,26.0,22.5,22.5,1.2391720294392776,0.5598039828071849,0.6936934374633698,0.06691919191919193
